# phrase	space-separated tone-marked syllables
簸土扬沙	bǒ tǔ yáng shā
簸箕	bò ji
簿册	bù cè
簿子	bù zi
簿籍	bù jí
簿记	bù jì
籍没	jí mò
粗心大意	cū xīn dà yi
粗率	cū shuài
粘着	nián zhuó
粪土不如	fèn tǔ bù rú
精干	jīng gàn
精当	jīng dàng
精明强干	jīng míng qiáng gàn
糊弄	hù nòng
糊涂虫	hú tu chóng
糊涂账	hú tu zhàng
糊糊	hū hu
糨糊	jiàng hu
系带	jì dài
系泊	xì bó
紧追不舍	jǐn zhuī bù shě
累加	lěi jiā
累卵之危	lěi luǎn zhī wēi
累及	lěi jí
累土聚沙	lěi tǔ jù shā
累土至山	lěi tǔ zhì shān
累块积苏	lěi kuài jī sū
累次	lěi cì
累瓦结绳	lěi wǎ jié shéng
累积	lěi jī
累累如珠	lěi lěi rú zhū
累计	lěi jì
累赘	léi zhui
累足成步	lěi zú chéng bù
累进	lěi jìn
絮叨	xù dao
絮絮叨叨	xù xù dāo dāo
綦溪利跂	qí xī lì qí
纠葛	jiū gé
红不棱登	hóng bu lēng dēng
红彤彤	hóng tōng tōng
红得发紫	hóng de fā zǐ
红晕	hóng yùn
红澄澄	hóng deng deng
红绳系足	hóng shéng jì zú
红苕	hóng sháo
纤夫	qiàn fū
纤手	qiàn shǒu
纤绳	qiàn shéng
约摸	yuē mo
约莫	yuē mo
级差	jí chā
纪传体	jì zhuàn tǐ
纯属骗局	chún shǔ piàn jú
纳闷	nà mèn
纳降	nà xiáng
纷纷不一	fēn fēn bù yī
纹路	wén lù
组分	zǔ fèn
组长	zǔ zhǎng
终了	zhōng liǎo
终始若一	zhōng shǐ ruò yī
经传	jīng zhuàn
经幢	jīng chuáng
经年累月	jīng nián lěi yuè
绑扎	bǎng zā
结发	jié fà
结实	jiē shi
结巴	jiē ba
结扎	jié zā
结结实实	jiē jiē shí shí
结结巴巴	jiē jiē bā bā
给与	jǐ yǔ
给予	jǐ yǔ
给付	jǐ fù
给养	jǐ yǎng
给水	jǐ shuǐ
统一	tǒng yī
统率	tǒng shuài
绣花枕头	xiù huā zhěn tou
绳子	shéng zi
绵里薄材	mián lǐ bó cái
绸缪	chóu móu
绿林	lù lín
绿树成荫	lǜ shù chéng yīn
绿荫	lǜ yīn
缘分	yuán fèn
缝制	féng zhì
缝合	féng hé
缝子	fèng zi
缝纫	féng rèn
缝缀	féng zhuì
缝补	féng bǔ
缠夹	chán jiā
缥缈	piāo miǎo
缩砂密	sù shā mì
缺吃少穿	quē chī shǎo chuān
罗织构陷	luó zhī gòu xiàn
罚不当罪	fá bù dāng zuì
罪责难逃	zuì zé nán táo
罪过	zuì guo
罹难	lí nàn
羊圈	yáng juàn
羊羔美酒	yáng gāo měi jiǔ
美发	měi fà
羞人答答	xiū rén dā dā
羞答答	xiū dā dā
群居和一	qún jū hé yī
群氓	qún méng
翅膀	chì bǎng
翘楚	qiáo chǔ
翘足引领	qiáo zú yǐn lǐng
翘首	qiáo shǒu
翻卷	fān juǎn
老大难	lǎo dà nán
老将	lǎo jiàng
老少	lǎo shào
老师宿儒	lǎo shī xiǔ rú
老来少	lǎo lái shào
考勤簿	kǎo qín bù
耍笔杆	shuǎ bǐ gǎn
耕种	gēng zhòng
耳朵	ěr duo
聚米为山	jù mǐ wéi shān
聪明	cōng ming
肉薄骨并	ròu bó gǔ bìng
肚量	dù liàng
股长	gǔ zhǎng
肤受之愬	fū shòu zhī sù
肺活量	fèi huó liàng
胁肩累足	xié jiān lěi zú
胆量	dǎn liàng
背包	bēi bāo
背地里	bèi dì lǐ
背城借一	bèi chéng jiè yī
背带	bēi dài
背曲腰躬	bèi qǔ yāo gōng
背篓	bēi lǒu
背负	bēi fù
背黑锅	bēi hēi guō
胖子	pàng zi
胡作非为	hú zuò fēi wéi
胡同	hú tòng
胡子	hú zi
胳膊	gē bo
胳臂	gē bei
胶卷	jiāo juǎn
胶着	jiāo zhuó
能不称官	néng bú chèn guān
能干	néng gàn
能者为师	néng zhě wéi shī
能耐	néng nài
能量	néng liàng
脉脉	mò mò
脊梁骨	jǐ liang gǔ
脖子	bó zi
脖颈	bó gěng
脚丫子	jiǎo yā zi
脚爪	jiǎo zhǎo
脚色	jué sè
脱发	tuō fà
腔调	qiāng diào
腥闻在上	xīng wén zài shàng
腰杆	yāo gǎn
腹载五车	fù zài wǔ chē
膀大腰圆	bǎng dà yāo yuán
膀胱	páng guāng
膀臂	bǎng bì
膏药	gāo yao
膏车秣马	gào chē mò mǎ
臊子	sào zi
臧否	zāng pǐ
自个儿	zì gě er
自传	zì zhuàn
自吹自擂	zì chuī zì léi
自怨自艾	zì yuàn zì yì
自我吹嘘	zì wǒ chuī xū
自省	zì xǐng
自禁	zì jīn
自给	zì jǐ
自转	zì zhuàn
自量	zì liàng
臭味相投	xiù wèi xiāng tóu
至当不易	zhì dàng bú yì
舅子	jiù zi
舅母	jiù mu
舅舅	jiù jiu
舌头	shé tou
舌苔	shé tāi
舍命	shě mìng
舍己为人	shě jǐ wèi rén
舍己为公	shě jǐ wèi gōng
舍得	shě de
舍我其谁	shě wǒ qí shuí
舍短取长	shě duǎn qǔ cháng
舍策追羊	shě cè zhuī yáng
舍身	shě shēn
舍身为国	shě shēn wéi guó
舍近求远	shě jìn qiú yuǎn
良将	liáng jiàng
良莠不一	liáng yǒu bù yī
艰难竭蹶	jiān nán jié jué
色厉胆薄	sè lì dǎn bó
色相	sè xiàng
色调	sè diào
节假日	jié jià rì
节骨眼	jiē gǔ yǎn
芋头	yù tou
芥末	jiè mo
芫荽	yán sui
花不棱登	huā bu lēng dēng
花事了	huā shì liǎo
花卷	huā juǎn
花呢	huā ní
花头	huā tóu
花岗石	huā gāng shí
苌弘碧血	cháng hóng bì xiě
苍劲	cāng jìng
苍术	cāng zhú
苍蝇见血	cāng yíng jiàn xiě
苏打	sū dá
苗头	miáo tou
苛政猛于虎	kē zhèng měng yú hǔ
苟合取容	gǒu hé qǔ róng
苦中作乐	kǔ zhōng zuò lè
苦处	kǔ chù
苦差	kǔ chāi
苦干	kǔ gàn
苦闷	kǔ mèn
苦难	kǔ nàn
苫眼铺眉	shān yǎn pū méi
英雄传	yīng xióng zhuàn
苹果	píng guǒ
茄子	qié zi
茅塞顿开	máo sè dùn kāi
茎干	jīng gàn
茶几	chá jī
荆棘载途	jīng jí zài tú
草垛	cǎo duò
草率	cǎo shuài
草长莺飞	cǎo zhǎng yīng fēi
荥阳	xíng yáng
荫蔽	yīn bì
荷枪实弹	hè qiāng shí dàn
荷载	hè zǎi
莎草	suō cǎo
莫予毒也	mò yú dú yě
莫此为甚	mò cǐ wéi shèn
莲花落	lián huā lào
获隽公车	huò jùn gōng chē
莺吟燕儛	yīng yín yàn wǔ
菲薄	fěi bó
菲食薄衣	fěi shí bó yī
萍飘蓬转	píng piāo péng zhuàn
萎靡	wěi mǐ
萝卜	luó bo
营蝇斐锦	yíng yíng fēi jǐn
营长	yíng zhǎng
落发	luò fà
落子	luò zǐ
落差	luò chā
落得	luò de
落枕	lào zhěn
落草为寇	luò cǎo wéi kòu
落落大方	luò luò dà fāng
落落难合	luò luò nán hé
落难	luò nàn
落魄	luò pò
落魄江湖	luò pò jiāng hú
葛布	gé bù
葛藤	gé téng
董事长	dǒng shì zhǎng
葫芦	hú lu
葭莩之亲	jiā fú zhī qīn
蒙古	měng gǔ
蒙得维的亚	méng dé wéi dì yà
蒙蒙亮	méng méng liàng
蔚为壮观	wèi wéi zhuàng guān
蔚为大观	wèi wéi dà guān
薄命	bó mìng
薄寒中人	bó hán zhòng rén
薄幸	bó xìng
薄弱	bó ruò
薄情	bó qíng
薄技	bó jì
薄暮	bó mù
薄物细故	bó wù xì gù
薄礼	bó lǐ
薄荷	bò he
薄酒	bó jiǔ
薄雾	bó wù
藏历	zàng lì
藏戏	zàng xì
藏族	zàng zú
藏红花	zàng hóng huā
藏踪蹑迹	cáng zōng niè jì
藏青	zàng qīng
藤蔓	téng wàn
蘑菇	mó gu
虎将	hǔ jiàng
虮虱相吊	jǐ shī xiāng diào
虱处裈中	shī chǔ kūn zhōng
虱子	shī zi
虾兵蟹将	xiā bīng xiè jiàng
虾蟆	há má
蚂蚱	mà zha
蚌埠	bèng bù
蛇蝎为心	shé xiē wéi xīn
蛙蟆胜负	wā má shèng fù
蛤蚧	gé jiè
蛤蜊	gé lí
蛤蟆	há ma
蛮干	mán gàn
蛮横	mán hèng
蛾子	é zi
螓首蛾眉	qín shǒu é méi
螫手解腕	shì shǒu jiě wàn
螺杆	luó gǎn
蠹居棊处	dù jū qí chǔ
血债累累	xuè zhài lěi lěi
血泊	xuè pō
行一行	xíng yì háng
行业	háng yè
行为	xíng wéi
行人	xíng rén
行伍	háng wǔ
行会	háng huì
行列	háng liè
行号	háng hào
行头	xíng tou
行家	háng jia
行家里手	háng jiā lǐ shǒu
行尾	háng wěi
行当	háng dang
行情	háng qíng
行末	háng mò
行李	xíng li
行款	háng kuǎn
行行不行	háng háng bù xíng
行行出状元	háng háng chū zhuàng yuan
行规	háng guī
行话	háng huà
行货	háng huò
行距	háng jù
行辈	háng bèi
行道	háng dào
行长	háng zhǎng
行首	háng shǒu
行高	háng gāo
衣单食薄	yī dān shí bó
衣服	yī fu
衣着	yī zhuó
衣租食税	yì zū shí shuì
衣被	yī bèi
衣裳之会	yī shang zhī huì
衣轻乘肥	yì qīng chéng féi
补给	bǔ jǐ
表率	biǎo shuài
表里不一	biǎo lǐ bù yī
表里为奸	biǎo lǐ wéi jiān
袅娜	niǎo nuó
袅袅娜娜	niǎo niǎo nuó nuó
袜子	wà zi
被发缨冠	pī fà yīng guàn
被子	bèi zi
被山带河	pī shān dài hé
被甲据鞍	pī jiǎ jù ān
被甲枕戈	pī jiǎ zhěn gē
被褐怀玉	pī hè huái yù
裁处	cái chǔ
裁缝	cái feng
裁量	cái liáng
裂冠毁冕	liè guàn huǐ miǎn
裂裳衣疮	liè shang yī chuāng
装模作样	zhuāng mú zuò yàng
装载	zhuāng zài
褒贬与夺	bāo biǎn yǔ duó
褪去	tuì qù
西洋参	xī yáng shēn
西藏	xī zàng
要塞	yào sài
要挟	yāo xié
要是	yào shi
要求	yāo qiú
覆没	fù mò
见世面	jiàn shì miàn
见义勇为	jiàn yì yǒng wéi
见弃于人	jiàn qì yú rén
见素抱朴	xiàn sù bào pǔ
见缝就钻	jiàn fèng jiù zuān
见识	jiàn shi
规旋矩折	guī xuán jǔ shé
视为畏途	shì wéi wèi tú
视为知己	shì wéi zhī jǐ
视差	shì chā
觉得	jué de
角力	jué lì
角抵	jué dǐ
角斗	jué dòu
角立杰出	jiǎo lì jié chū
角色	jué sè
角逐	jué zhú
解人难得	jiě rén nán dé
解元	jiè yuán
解发佯狂	jiě fà yáng kuáng
解放思想	jiè fàng sī xiǎng
解数	xiè shù
解法	jiě fǎ
解衣衣人	jiě yī yī rén
解送	jiè sòng
解铃系铃	jiě líng xì líng
解闷	jiě mèn
触处机来	chù chǔ jī lái
言为心声	yán wéi xīn shēng
言必有中	yán bì yǒu zhòng
言行不一	yán xíng bù yī
言行抱一	yán xíng bào yī
言行若一	yán xíng ruò yī
詈夷为跖	lì yí wéi zhí
誉为	yù wéi
计功量罪	jì gōng liàng zuì
计深虑远	jì shēn lǜ yuǎn
计量	jì liáng
认为	rèn wéi
认得	rèn de
认识	rèn shi
讨还	tǎo huán
讪牙闲嗑	shàn yá xián kē
议长	yì zhǎng
记得	jì de
论处	lùn chǔ
论语	lún yǔ
论调	lùn diào
设身处地	shè shēn chǔ dì
评传	píng zhuàn
识相	shí xiàng
诈降	zhà xiáng
词调	cí diào
诎要桡腘	qū yāo ráo guó
诗书发冢	shī shū fà zhǒng
诗兴	shī xìng
诘屈磝碻	jié qū áo qiāo
诚朴	chéng pǔ
诪张为幻	zhōu zhāng wéi huàn
诬良为盗	wū liáng wéi dào
语不惊人	yǔ bù jīng rén
语塞	yǔ sè
语笑喧阗	yǔ xiào xuān tián
语调	yǔ diào
误差	wù chā
诱降	yòu xiáng
说一不二	shuō yī bù èr
说得来	shuō de lái
说笑话	shuō xiào hua
请假	qǐng jià
请调	qǐng diào
读书得间	dú shū dé jiàn
调人	diào rén
调令	diào lìng
调任	diào rèn
调兵遣将	diào bīng qiǎn jiàng
调动	diào dòng
调取	diào qǔ
调回	diào huí
调处	tiáo chǔ
调头	diào tóu
调子	diào zi
调度	diào dù
调式	diào shì
调换	diào huàn
调查	diào chá
调档	diào dàng
调派	diào pài
调温	diào wēn
调演	diào yǎn
调用	diào yòng
调研	diào yán
调离	diào lí
调经	tiáo jīng
调职	diào zhí
调虎离山	diào hǔ lí shān
调调	diào diao
调转	diào zhuǎn
调运	diào yùn
调遣	diào qiǎn
调配	tiáo pèi
调门	diào mén
调阅	diào yuè
调防	diào fáng
调集	diào jí
谈兴	tán xìng
谈得来	tán de lái
谈言微中	tán yán wēi zhòng
谓予不信	wèi yú bú xìn
谭言微中	tán yán wēi zhòng
豁出去	huō chū qù
豆腐	dòu fu
豪兴	háo xìng
豪商巨贾	háo shāng jù jiǎ
豪干暴取	háo gàn bào qǔ
豹子	bào zi
贞松劲柏	zhēn sōng jìng bǎi
贞观	zhēn guān
负债累累	fù zhài lěi lěi
负荷	fù hè
负载	fù zài
财会	cái kuài
责难	zé nàn
败兴	bài xìng
败军之将	bài jūn zhī jiàng
败将	bài jiàng
账簿	zhàng bù
质量	zhì liàng
贫嘴薄舌	pín zuǐ bó shé
贵处	guì chù
贵干	guì gàn
赏不当功	shǎng bù dāng gōng
赔还	péi huán
赚头	zhuàn tou
赭衣塞路	zhě yī sè lù
走为上策	zǒu wéi shàng cè
走马换将	zǒu mǎ huàn jiàng
赶得上	gǎn de shàng
赶得及	gǎn de jí
赶浪头	gǎn làng tóu
起偃为竖	qǐ yǎn wéi shù
起哄	qǐ hòng
趁水和泥	chèn shuǐ huò ní
超今冠古	chāo jīn guàn gǔ
超载	chāo zài
趔趄	liè qie
趵突泉	bào tū quán
跌宕不羁	diē dàng bù jī
跌弹斑鸠	diē dàn bān jiū
跑马卖解	pǎo mǎ mài xiè
跟头	gēn tou
路上	lù shang
跳蚤	tiào zao
踏踏实实	tā tā shi shí
蹈其覆辙	dǎo qí fù zhé
身体发肤	shēn tǐ fà fū
身分	shēn fèn
身单力薄	shēn dān lì bó
身子	shēn zi
身量	shēn liàng
躯壳	qū qiào
躯干	qū gàn
车子	chē zi
车行道	chē xíng dào
车载	chē zài
车载船装	chē zǎi chuán zhuāng
轧轧	yà yà
轧钢	zhá gāng
轩鹤冠猴	xuān hè guàn hóu
转动	zhuàn dòng
转危为安	zhuǎn wēi wéi ān
转台	zhuàn tái
转嗔为喜	zhuǎn chēn wéi xǐ
转圈	zhuàn quān
转子	zhuàn zǐ
转弯抹角	zhuǎn wān mò jiǎo
转悠	zhuàn you
转悲为喜	zhuǎn bēi wéi xǐ
转愁为喜	zhuǎn chóu wéi xǐ
转来转去	zhuàn lái zhuàn qù
转椅	zhuàn yǐ
转炉	zhuàn lú
转盘	zhuàn pán
转矩	zhuàn jǔ
转祸为福	zhuǎn huò wéi fú
转筋	zhuàn jīn
转调	zhuǎn diào
转败为胜	zhuǎn bài wéi shèng
转轮	zhuàn lún
转速	zhuàn sù
轮转	lún zhuàn
软和	ruǎn huo
软红香土	ruǎn hóng xiāng tǔ
软骨头	ruǎn gǔ tou
轰隆	hōng lōng
轻率	qīng shuài
轻薄	qīng bó
轻量级	qīng liàng jí
载客	zài kè
载歌载舞	zài gē zài wǔ
载沉载浮	zài chén zài fú
载波	zài bō
载笑载言	zài xiào zài yán
载荷	zài hè
载货	zài huò
载运	zài yùn
载酒问字	zài jiǔ wèn zì
载重	zài zhòng
载重量	zài zhòng liàng
较为	jiào wéi
较如画一	jiào rú huà yī
较瘦量肥	jiào shòu liàng féi
较若画一	jiào ruò huà yī
较量	jiào liàng
辅世长民	fǔ shì zhǎng mín
辈子	bèi zi
辟谷	bì gǔ
辟邪	bì xié
辫子	biàn zi
辱没	rǔ mò
边塞	biān sài
达姆弹	dá mǔ dàn
迁都	qiān dū
过为已甚	guò wéi yǐ shèn
过关斩将	guò guān zhǎn jiàng
过分	guò fèn
过家家	guò jiā jiā
过得去	guò de qù
过得硬	guò de yìng
过载	guò zài
过量	guò liàng
运转	yùn zhuǎn
运载	yùn zài
运输量	yùn shū liàng
运量	yùn liàng
返本还源	fǎn běn huán yuán
返老还童	fǎn lǎo huán tóng
返还	fǎn huán
还乡	huán xiāng
还价	huán jià
还俗	huán sú
还债	huán zhài
还击	huán jī
还原	huán yuán
还嘴	huán zuǐ
还年却老	huán nián què lǎo
还年驻色	huán nián zhù sè
还愿	huán yuàn
还我河山	huán wǒ hé shān
还手	huán shǒu
还清	huán qīng
还珠返璧	huán zhū fǎn bì
还礼	huán lǐ
还阳	huán yáng
还魂	huán hún
这个	zhè ge
这么点儿	zhè me diǎn er
这么着	zhè me zhāo
这会儿	zhè huì er
进给	jìn jǐ
进给量	jìn jǐ liàng
进退应矩	jìn tuì yīng jǔ
进退消长	jìn tuì xiāo cháng
进退触籓	jìn tuì chù fān
进退跋疐	jìn tuì bá zhì
连中三元	lián zhòng sān yuán
连杆	lián gǎn
连篇累牍	lián piān lěi dú
连累	lián lèi
连长	lián zhǎng
迫击炮	pǎi jī pào
迷恋骸骨	mí liàn hái gǔ
迷糊	mí hu
迷迷糊糊	mí mí hu hū
追亡逐北	zhuī wáng zhú běi
退还	tuì huán
送还	sòng huán
适当	shì dàng
适当其冲	shì dāng qí chōng
适情率意	shì qíng shuài yì
适时应务	shì shí yīng wù
适量	shì liàng
逃奔	táo bèn
逃难	táo nàn
逆差	nì chā
选调	xuǎn diào
逐一	zhú yī
逐物不还	zhú wù bù huán
逗闷子	dòu mèn zi
通文调武	tōng wén diào wǔ
通量	tōng liàng
造谣中伤	zào yáo zhòng shāng
逶迤	wēi yí
逸兴遄飞	yì xìng chuán fēi
逼良为娼	bī liáng wéi chāng
逾墙钻隙	yú qiáng zuān xì
遁世无闷	dùn shì wú mèn
遁迹黄冠	dùn jì huáng guàn
遇难	yù nàn
遇难呈祥	yù nàn chéng xiáng
遇难成祥	yù nàn chéng xiáng
遏恶扬善	è wù yáng shàn
遒劲	qiú jìng
道行	dào heng
道观	dào guàn
道长	dào zhǎng
遗世忘累	yí shì wàng lěi
遗寝载怀	yí qǐn zài huái
遗少	yí shào
遣兴陶情	qiǎn xìng táo qíng
遮荫	zhē yīn
避难	bì nàn
避难就易	bì nán jiù yì
邈处欿视	miǎo chǔ kǎn shì
那个	nà ge
那会儿	nà huì er
那阵儿	nà zhèn er
邮差	yóu chāi
郁郁累累	yù yù lěi lěi
郁闷	yù mèn
郢书燕说	yǐng shū yān shuō
郦食其	lì yì jī
部分	bù fen
部将	bù jiàng
部长	bù zhǎng
都城	dū chéng
都市	dū shì
都护	dū hù
都江堰	dū jiāng yàn
都督	dū du
鄙薄	bǐ bó
酋长	qiú zhǎng
酌量	zhuó liang
配乐	pèi yuè
配给	pèi jǐ
配角	pèi jué
酒兴	jiǔ xìng
酒吧	jiǔ bā
酒曲	jiǔ qū
酒量	jiǔ liàng
醋劲儿	cù jìn er
采邑	cài yì
释知遗形	shì zhī yí xíng
里头	lǐ tou
里子	lǐ zi
里弄	lǐ lòng
重九	chóng jiǔ
重修	chóng xiū
重光	chóng guāng
重出	chóng chū
重创	zhòng chuāng
重印	chóng yìn
重叠	chóng dié
重合	chóng hé
重启	chóng qǐ
重唱	chóng chàng
重围	chóng wéi
重复	chóng fù
重头戏	zhòng tóu xì
重奏	chóng zòu
重婚	chóng hūn
重孙	chóng sūn
重审	chóng shěn
重山	chóng shān
重峦	chóng luán
重庆	chóng qìng
重建	chóng jiàn
重弹	chóng tán
重影	chóng yǐng
重担	zhòng dàn
重振旗鼓	chóng zhèn qí gǔ
重提	chóng tí
重播	chóng bō
重操旧业	chóng cāo jiù yè
重整	chóng zhěng
重新	chóng xīn
重明继焰	chóng míng jì yàn
重来	chóng lái
重温	chóng wēn
重游	chóng yóu
重演	chóng yǎn
重现	chóng xiàn
重生	chóng shēng
重申	chóng shēn
重见天日	chóng jiàn tiān rì
重试	chóng shì
重足	chóng zú
重蹈覆辙	chóng dǎo fù zhé
重返	chóng fǎn
重逢	chóng féng
重重	chóng chóng
重量	zhòng liàng
重阳	chóng yáng
野调无腔	yě diào wú qiāng
量体裁衣	liàng tǐ cái yī
量入为出	liàng rù wéi chū
量刑	liàng xíng
量力	liàng lì
量力而为	liàng lì ér wéi
量变	liàng biàn
量如江海	liàng rú jiāng hǎi
量子	liàng zǐ
量小力微	liàng xiǎo lì wēi
量己审分	liàng jǐ shěn fēn
量才录用	liàng cái lù yòng
量枘制凿	liàng ruì zhì záo
量词	liàng cí
量金买赋	liàng jīn mǎi fù
金吾不禁	jīn wú bú jìn
金翅擘海	jīn chì bāi hǎi
金蝉脱壳	jīn chán tuō qiào
鉴影度形	jiàn yǐng duó xíng
针头削铁	zhēn tóu xuē tiě
钉头磷磷	dīng tóu lín lín
钉子	dīng zi
钉齿耙	dīng chǐ bà
钢化玻璃	gāng huà bō li
钢筋铁骨	gāng jīn tiě gǔ
钥匙	yào shi
钦差	qīn chāi
钧天广乐	jūn tiān guǎng yuè
钩爪锯牙	gōu zhǎo jù yá
钳子	qián zi
钻冰求火	zuān bīng qiú huǒ
钻天打洞	zuān tiān dǎ dòng
钻头觅缝	zuān tóu mì fèng
钻孔	zuān kǒng
钻心	zuān xīn
钻探	zuān tàn
钻杆	zuàn gǎn
钻洞	zuān dòng
钻洞觅缝	zuàn dòng mì féng
钻火得冰	zuān huǒ dé bīng
钻牛角尖	zuān niú jiǎo jiān
钻皮出羽	zuān pí chū yǔ
钻研	zuān yán
钻营	zuān yíng
钻进	zuān jìn
铁杆	tiě gǎn
铁板钉钉	tiě bǎn dìng dīng
铁树开华	tiě shù kāi huā
铃铛	líng dang
铄古切今	shuò gǔ qiē jīn
铅山	yán shān
铅弹	qiān dàn
铅玻璃	qiān bō li
铆劲儿	mǎo jìn er
铢两悉称	zhū liǎng xī chèn
铢量寸度	zhū liáng cùn duó
铣床	xǐ chuáng
银发	yín fà
银子	yín zi
银行	yín háng
铸剑为犁	zhù jiàn wéi lí
铺叙	pū xù
铺垫	pū diàn
铺天盖地	pū tiān gài dì
铺子	pù zi
铺展	pū zhǎn
铺平	pū píng
铺床	pū chuáng
铺开	pū kāi
铺张	pū zhāng
铺排	pū pái
铺盖	pū gài
铺盖卷	pū gài juǎn
铺砌	pū qì
铺胸纳地	pū xiōng nà dì
铺设	pū shè
铺路	pū lù
铺轨	pū guǐ
铺锦列绣	pū jǐn liè xiù
铺陈	pū chén
销量	xiāo liàng
锁钥	suǒ yuè
锄头	chú tou
错处	cuò chù
锥处囊中	zhuī chǔ náng zhōng
锦囊还矢	jǐn náng huán shǐ
锲而不舍	qiè ér bù shě
镇长	zhèn zhǎng
镐头	gǎo tóu
镜子	jìng zi
长上	zhǎng shàng
长假	cháng jià
长傲饰非	zhǎng ào shì fēi
长兄	zhǎng xiōng
长势	zhǎng shì
长发	cháng fà
长史	zhǎng shǐ
长大	zhǎng dà
长子	zhǎng zǐ
长孙	zhǎng sūn
长官	zhǎng guān
长年三老	zhǎng nián sān lǎo
长年累月	cháng nián lěi yuè
长幼尊卑	zhǎng yòu zūn bēi
长幼有序	zhǎng yòu yǒu xù
长春不老	cháng chūn bù lǎo
长歌当哭	cháng gē dàng kū
长生不死	cháng shēng bù sǐ
长相	zhǎng xiàng
长绳系日	cháng shéng jì rì
长老	zhǎng lǎo
长者	zhǎng zhě
长调	cháng diào
长辈	zhǎng bèi
长进	zhǎng jìn
长门	cháng mén
门单户薄	mén dān hù bó
门将	mén jiàng
闭塞	bì sè
闭目塞听	bì mù sè tīng
问一答十	wèn yī dá shí
闯将	chuǎng jiàng
闲散	xián sǎn
间不容发	jiān bù róng fà
间作	jiàn zuò
间或	jiàn huò
间接	jiàn jiē
间断	jiàn duàn
间歇	jiàn xiē
间苗	jiàn miáo
间见层出	jiàn xiàn céng chū
间谍	jiàn dié
间隔	jiàn gé
间隙	jiàn xì
闷头	mēn tóu
闷头儿	mēn tóu er
闷棍	mèn gùn
闷罐车	mèn guàn chē
闷葫芦	mèn hú lu
闷酒	mèn jiǔ
闷闷不乐	mèn mèn bú lè
闷雷	mèn léi
闹哄哄	nào hōng hōng
闹嚷嚷	nào rāng rāng
闻一	wén yī
阏氏	yān zhī
队伍	duì wu
队长	duì zhǎng
防弹	fáng dàn
阴差阳错	yīn chā yáng cuò
阴干	yīn gān
阴着儿	yīn zhāo er
阴错阳差	yīn cuò yáng chā
阻塞	zǔ sè
阻难	zǔ nàn
阿党相为	ē dǎng xiāng wéi
阿家阿翁	ā jiā ā wēng
阿弥陀佛	ē mí tuó fó
阿房宫	ē páng gōng
阿谀奉承	ē yú fèng chéng
阿门	ā mén
附和	fù hè
附着	fù zhuó
陈词滥调	chén cí làn diào
降伏	xiáng fú
降妖捉怪	xiáng yāo zhuō guài
降顺	xiáng shùn
降龙伏虎	xiáng lóng fú hǔ
限量	xiàn liàng
院子	yuàn zi
院长	yuàn zhǎng
陵劲淬砺	líng jìng cuì lì
随物应机	suí wù yīng jī
随行就市	suí háng jiù shì
隐占身体	yǐn zhàn shēn tǐ
隔扇	gé shàn
隔行	gé háng
隽永	juàn yǒng
难为	nán wéi
难为情	nán wéi qíng
难为水	nán wéi shuǐ
难兄难弟	nàn xiōng nàn dì
难分难舍	nán fēn nán shě
难处	nán chù
难得	nán dé
难得糊涂	nán dé hú tú
难民	nàn mín
难舍难分	nán shě nán fēn
难进易退	nán jìn yì tuì
雄劲	xióng jìng
雅乐	yǎ yuè
雅兴	yǎ xìng
雅量	yǎ liàng
雕心雁爪	diāo xīn yàn zhǎo
雨夹雪	yǔ jiā xuě
雨量	yǔ liàng
雪一更	xuě yì gēng
零散	líng sǎn
零零散散	líng líng sǎn sǎn
雾鳞云爪	wù lín yún zhǎo
霁风朗月	jì fēng lǎng yuè
霓裳	ní cháng
霰弹	xiàn dàn
露一手	lòu yì shǒu
露脸	lòu liǎn
露面	lòu miàn
露馅	lòu xiàn
露马脚	lòu mǎ jiǎo
青林黑塞	qīng lín hēi sài
青紫被体	qīng zǐ pī tǐ
青藏高原	qīng zàng gāo yuán
非分	fēi fèn
非得	fēi děi
靠得住	kào de zhù
靡有孑遗	mǐ yǒu jié yí
靡衣偷食	mǐ yī tōu shí
面子	miàn zi
面糊	miàn hù
鞠为茂草	jū wéi mào cǎo
音乐	yīn yuè
音调	yīn diào
音量	yīn liàng
顶呱呱	dǐng guā guā
顶头上司	dǐng tóu shàng si
顺差	shùn chā
顺风吹火	shùn fēng chuī huǒ
顺风而呼	shùn fēng ér hū
须发	xū fà
频数	pín shù
颓垣断堑	tuí yuán duàn qiàn
颠倒衣裳	diān dǎo yī cháng
颠簸	diān bǒ
颤栗	zhàn lì
风一更	fēng yì gēng
风卷残云	fēng juǎn cán yún
风头	fēng tou
风姿绰约	fēng zī chuò yuē
风影敷衍	fēng yǐng fū yǎn
风筝	fēng zheng
风靡	fēng mǐ
飙发电举	biāo fā diàn jǔ
飞将军	fēi jiāng jūn
飞将数奇	fēi jiàng shù qí
飞弹	fēi dàn
飞转	fēi zhuàn
食为民天	shí wéi mín tiān
食量	shí liàng
餐松啖柏	cān sōng dàn bó
饭量	fàn liàng
饮犊上流	yìn dú shàng liú
饱和点	bǎo hé diǎn
饿殍枕藉	è piǎo zhěn jí
饿殍载道	è piǎo zài dào
馄饨	hún tun
馏分	liú fēn
馒头	mán tou
首相	shǒu xiàng
首都	shǒu dū
首长	shǒu zhǎng
香培玉琢	xiang pei yu zhuó
马入华山	mǎ rù huá shān
