# phrase	space-separated tone-marked syllables
即兴	jí xìng
卷云	juǎn yún
卷发	juǎn fà
卷子	juàn zi
卷席而葬	juǎn xí ér zàng
卷心菜	juǎn xīn cài
卷曲	juǎn qū
卷烟	juǎn yān
卷甲倍道	juǎn jiǎ bèi dào
卷笔刀	juǎn bǐ dāo
卷起	juǎn qǐ
卷铺盖	juǎn pū gài
卸磨杀驴	xiè mò shā lǘ
卸载	xiè zài
厂子	chǎng zi
厂长	chǎng zhǎng
厄难	è nàn
厅长	tīng zhǎng
历历可数	lì lì kě shǔ
历数	lì shǔ
压根	yà gēn
压根儿	yà gēn er
压良为贱	yā liáng wéi jiàn
压轴	yā zhòu
厌恶	yàn wù
厚古薄今	hòu gǔ bó jīn
厚味腊毒	hòu wèi xī dú
厚德载物	hòu dé zài wù
厚朴	hòu pò
厚此薄彼	hòu cǐ bó bǐ
厚积薄发	hòu jī bó fā
厚薄	hòu báo
厝火燎原	cuò huǒ liǎo yuán
厦门	xià mén
县长	xiàn zhǎng
参与	cān yù
参伍错综	cēn wǔ cuò zōng
参差	cēn cī
参差不一	cēn cī bù yī
参谋长	cān móu zhǎng
参辰卯酉	shēn chén mǎo yǒu
参量	cān liàng
叉子	chā zi
及宾有鱼	jí bīn yǒu yú
双柑斗酒	shuāng gān dǒu jiǔ
反劳为逸	fǎn láo wéi yì
反差	fǎn chā
反省	fǎn xǐng
反调	fǎn diào
反败为胜	fǎn bài wéi shèng
反间	fǎn jiàn
发人深省	fā rén shēn xǐng
发卡	fà qiǎ
发型	fà xíng
发奸擿伏	fā jiān tī fú
发妻	fà qī
发廊	fà láng
发式	fà shì
发引千钧	fà yǐn qiān jūn
发短心长	fà duǎn xīn cháng
发脾气	fā pí qi
发菜	fà cài
发行量	fā xíng liàng
发辫	fà biàn
发还	fā huán
发际	fà jì
发难	fā nàn
发髻	fà jì
叔叔	shū shu
取予有节	qǔ yǔ yǒu jié
取舍	qǔ shě
受降	shòu xiáng
变得	biàn de
变更	biàn gēng
变相	biàn xiàng
变调	biàn diào
变贪厉薄	biàn tān lì bó
变量	biàn liàng
口干舌焦	kǒu gān shé jiāo
口碑载道	kǒu bēi zài dào
口腹之累	kǒu fù zhī lěi
口角春风	kǒu jiǎo chūn fēng
口角生风	kǒu jiǎo shēng fēng
口角风情	kǒu jiǎo fēng qíng
口轻舌薄	kǒu qīng shé bó
古为今用	gǔ wéi jīn yòng
古朴	gǔ pǔ
古调不弹	gǔ diào bù tán
古调单弹	gǔ diào dān tán
句子	jù zi
句读	jù dòu
叨咕	dáo gu
叨在知己	tāo zài zhī jǐ
叨扰	tāo rǎo
叨陪末座	tāo péi mò zuò
只好	zhǐ hǎo
只当	zhǐ dāng
只怕	zhǐ pà
只是	zhǐ shì
只有	zhǐ yǒu
只管	zhǐ guǎn
只能	zhǐ néng
只要	zhǐ yào
只见	zhǐ jiàn
只许	zhǐ xǔ
只顾	zhǐ gù
叫化	jiào huà
可怜相	kě lián xiàng
可恶	kě wù
可汗	kè hán
可的松	kě dì sōng
台子	tái zi
叱喝	chì hè
叶公好龙	yè gōng hào lóng
叶子	yè zi
号叫	háo jiào
号哭	háo kū
号啕	háo táo
号子	hào zi
司务长	sī wù zhǎng
司长	sī zhǎng
叹为观止	tàn wéi guān zhǐ
叽叽喳喳	jī ji zhā zhā
叽哩咕噜	jī lǐ gū lū
吁请	yù qǐng
吃得下	chī de xià
吃得住	chī de zhù
吃得开	chī de kāi
吃得来	chī de lái
吃得消	chī de xiāo
吃里扒外	chī lǐ pá wài
各奔前程	gè bèn qián chéng
各有所好	gè yǒu suǒ hào
各有所长	gè yǒu suǒ cháng
各自为战	gè zì wéi zhàn
各色名样	gè sè míng yàng
各行	gè háng
吆五喝六	yāo wǔ hè liù
吆喝	yāo he
合一	hé yī
合两为一	hé liǎng wéi yī
合二为一	hé èr wéi yī
合从连衡	hé zòng lián héng
合同	hé tong
合得来	hé de lái
合而为一	hé ér wéi yī
吉人天相	jí rén tiān xiàng
吊丧	diào sāng
吊儿郎当	diào er láng dāng
同好	tóng hào
同恶相助	tóng wù xiāng zhù
同恶相恤	tóng wù xiāng xù
同行	tóng háng
同调	tóng diào
名将	míng jiàng
名我固当	míng wǒ gù dāng
名角	míng jué
后头	hòu tou
吐哺握发	tǔ bǔ wò fà
吐蕃	tǔ bō
吐谷浑	tǔ yù hún
吓唬	xià hu
吗啡	mǎ fēi
君子好逑	jūn zǐ hǎo qiú
吞没	tūn mò
吞言咽理	tūn yán yàn lǐ
吟哦	yín é
吡咯	bǐ luò
否极泰	pǐ jí tài
否泰	pǐ tài
否终则泰	pǐ zhōng zé tài
吧台	bā tái
吧唧	bā jī
吧嗒	bā dā
含含糊糊	hán hán hu hū
含糊	hán hu
含糊不明	hán hú bù míng
含糊其词	hán hú qí cí
含糊其辞	hán hú qí cí
含英咀华	hán yīng jǔ huá
含量	hán liàng
听差	tīng chāi
听而不闻	tīng ér bù wén
吭哧	kēng chī
吵吵闹闹	chāo chao nào nào
吸着	xī zhe
吾自有处	wú zì yǒu chǔ
告假	gào jià
告朔饩羊	gù shuò xì yáng
呢喃	ní nán
呢绒	ní róng
周一	zhōu yī
周正	zhōu zhèng
呱呱叫	guā guā jiào
呼不给吸	hū bù jǐ xī
呼卢喝雉	hū lú hè zhì
呼号	hū háo
呼吁	hū yù
呼喝	hū hè
呼天抢地	hū tiān qiāng dì
呼幺喝六	hū yāo hè liù
呼来喝去	hū lái hè qù
命中	mìng zhòng
命中注定	mìng zhōng zhù dìng
咀嚼	jǔ jué
咋舌	zé shé
和稀泥	huò xī ní
和颜说色	hé yán yuè sè
咏叹调	yǒng tàn diào
咔嚓	kā chā
咧嘴	liě zuǐ
咯血	kǎ xiě
咱家	zán jiā
咳唾成珠	ké tuò chéng zhū
咳喘	ké chuǎn
咳嗽	ké sou
咳特灵	ké tè líng
咳珠唾玉	ké zhū tuò yù
咳血	ké xuè
咽喉	yān hóu
咽峡炎	yān xiá yán
咽炎	yān yán
咿呀	yī yā
咿咿呀呀	yī yī yā yā
哀乐	āi yuè
哀号	āi háo
哄传	hōng chuán
哄动	hōng dòng
哄堂大笑	hōng táng dà xiào
哄抢	hōng qiǎng
哄抬	hōng tái
哄笑	hōng xiào
哈巴狗	hǎ ba gǒu
哈欠	hā qian
哈达	hǎ dá
哎呀	āi yā
哑巴	yǎ ba
哗哗	huā huā
哗啦	huā lā
哥哥	gē ge
哨卡	shào qiǎ
哩哩啦啦	lī li lā lā
哪会儿	nǎ huì er
哪吒	né zhā
哭丧	kū sāng
哭丧棒	kū sāng bàng
哼哈二将	hēng hā èr jiàng
唉声叹气	āi shēng tàn qì
唠叨	láo dao
唠唠叨叨	láo lao dāo dāo
唯一	wéi yī
唱和	chàng hè
商行	shāng háng
